,Book-Title,Book-Author,Publisher,Year-Of-Publication,Image-URL-M
73376,The Hours : A Novel,Michael Cunningham,Picador,2000,https://images.amazon.com/images/P/0312243022.01.MZZZZZZZ.jpg
73740,Cold Mountain : A Novel,CHARLES FRAZIER,Vintage,1998,https://images.amazon.com/images/P/0375700757.01.MZZZZZZZ.jpg
74051,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,McGraw-Hill,1989,https://images.amazon.com/images/P/0070212570.01.MZZZZZZZ.jpg
74593,The Last Time They Met : A Novel,Anita Shreve,Back Bay Books,2002,https://images.amazon.com/images/P/0316781266.01.MZZZZZZZ.jpg
74828,The Green Mile,Stephen King,Pocket,1999,https://images.amazon.com/images/P/0671032658.01.MZZZZZZZ.jpg
75290,A Heartbreaking Work of Staggering Genius,Dave Eggers,Vintage Books USA,2001,https://images.amazon.com/images/P/0375725784.01.MZZZZZZZ.jpg
76158,The Fellowship of the Ring,J.R.R. TOLKIEN,Del Rey,1986,https://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg
76409,Watership Down,Richard George Adams,Harpercollins,1975,https://images.amazon.com/images/P/038039586X.01.MZZZZZZZ.jpg
76974,The Blue Nowhere : A Novel,Jeffery Deaver,Pocket,2002,https://images.amazon.com/images/P/0671042262.01.MZZZZZZZ.jpg
77110,Sudden Prey,John Sandford,Berkley Publishing Group,1997,https://images.amazon.com/images/P/0425157539.01.MZZZZZZZ.jpg
77471,A Year in Provence,Peter Mayle,Vintage Books USA,1991,https://images.amazon.com/images/P/0679731148.01.MZZZZZZZ.jpg
77886,When the Wind Blows,James Patterson,Replica Books,1998,https://images.amazon.com/images/P/0316693324.01.MZZZZZZZ.jpg
78962,I Capture the Castle,Dodie Smith,St. Martin's Griffin,2003,https://images.amazon.com/images/P/031231616X.01.MZZZZZZZ.jpg
79000,What to Expect When You're Expecting,Arlene Eisenberg,Workman Pub Co,1996,https://images.amazon.com/images/P/089480829X.01.MZZZZZZZ.jpg
79310,The Alchemist: A Fable About Following Your Dream,Paulo Coelho,HarperSanFrancisco,1993,https://images.amazon.com/images/P/0062502174.01.MZZZZZZZ.jpg
79350,Miss Julia Speaks Her Mind : A Novel,Ann B. Ross,Perennial,2000,https://images.amazon.com/images/P/0688177751.01.MZZZZZZZ.jpg
79471,Big Stone Gap: A Novel,Adriana Trigiani,Ballantine Books,2001,https://images.amazon.com/images/P/0345438329.01.MZZZZZZZ.jpg
80434,Black Notice,Patricia Daniels Cornwell,Putnam Pub Group,1999,https://images.amazon.com/images/P/0399145087.01.MZZZZZZZ.jpg
81229,Lord of the Flies,William Gerald Golding,Perigee Trade,1959,https://images.amazon.com/images/P/0399501487.01.MZZZZZZZ.jpg
82114,The Alienist,Caleb Carr,Bantam Books,1995,https://images.amazon.com/images/P/0553572997.01.MZZZZZZZ.jpg
82456,Notes from a Small Island,Bill Bryson,Perennial,1997,https://images.amazon.com/images/P/0380727501.01.MZZZZZZZ.jpg
82617,Harvest,BELVA PLAIN,Dell,1991,https://images.amazon.com/images/P/0440208912.01.MZZZZZZZ.jpg
82687,Engaging The Enemy,Nora Roberts,Silhouette,2003,https://images.amazon.com/images/P/0373218192.01.MZZZZZZZ.jpg
83060,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,Anchor,1999,https://images.amazon.com/images/P/0385494785.01.MZZZZZZZ.jpg
83087,Into the Wild,Jon Krakauer,Anchor,1997,https://images.amazon.com/images/P/0385486804.01.MZZZZZZZ.jpg
84410,Cause of Death,Patricia Daniels Cornwell,Berkley Publishing Group,1997,https://images.amazon.com/images/P/0425158616.01.MZZZZZZZ.jpg
84862,The Poisonwood Bible,Barbara Kingsolver,HarperCollins,1999,https://images.amazon.com/images/P/0060175400.01.MZZZZZZZ.jpg
85082,Waiting to Exhale,Terry McMillan,Pocket,1995,https://images.amazon.com/images/P/0671537458.01.MZZZZZZZ.jpg
85424,Chromosome 6,Robin Cook,Berkley Publishing Group,2000,https://images.amazon.com/images/P/0425161242.01.MZZZZZZZ.jpg
85557,Point of Origin,Patricia Daniels Cornwell,Berkley Publishing Group,1999,https://images.amazon.com/images/P/0425169863.01.MZZZZZZZ.jpg
85741,Rising Sun,MICHAEL CRICHTON,Ballantine Books,1992,https://images.amazon.com/images/P/0345380371.01.MZZZZZZZ.jpg
86109,Cradle and All,James Patterson,Little Brown and Company,2000,https://images.amazon.com/images/P/0316690619.01.MZZZZZZZ.jpg
86195,1st to Die: A Novel,James Patterson,Warner Vision,2002,https://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg
86711,Flesh and Blood,Jonathan Kellerman,Random House,2001,https://images.amazon.com/images/P/0679459626.01.MZZZZZZZ.jpg
88383,Everything's Eventual : 14 Dark Tales,Stephen King,Pocket,2002,https://images.amazon.com/images/P/0743457358.01.MZZZZZZZ.jpg
88885,Here on Earth,Alice Hoffman,Berkley Publishing Group,1998,https://images.amazon.com/images/P/0425167313.01.MZZZZZZZ.jpg
89135,The Lost World,Michael Crichton,Ballantine Books,1996,https://images.amazon.com/images/P/034540288X.01.MZZZZZZZ.jpg
89720,Absolute Power,David Baldacci,Warner Books,1996,https://images.amazon.com/images/P/0446519960.01.MZZZZZZZ.jpg
89924,White Oleander : A Novel,Janet Fitch,"Little, Brown",2001,https://images.amazon.com/images/P/0316182540.01.MZZZZZZZ.jpg
90280,CAT'S EYE,MARGARET ATWOOD,Bantam,1989,https://images.amazon.com/images/P/0553282476.01.MZZZZZZZ.jpg
90393,The Handmaid's Tale,Margaret Atwood,Fawcett Books,1989,https://images.amazon.com/images/P/0449212602.01.MZZZZZZZ.jpg
90787,The Murder Book,Jonathan Kellerman,Ballantine Books,2003,https://images.amazon.com/images/P/0345413903.01.MZZZZZZZ.jpg
91095,Body of Lies,IRIS JOHANSEN,Bantam,2003,https://images.amazon.com/images/P/0553582143.01.MZZZZZZZ.jpg
92347,Lightning,Dean R. Koontz,Berkley Publishing Group,1996,https://images.amazon.com/images/P/0425115801.01.MZZZZZZZ.jpg
92515,Hearts In Atlantis,Stephen King,Pocket,2000,https://images.amazon.com/images/P/0671024248.01.MZZZZZZZ.jpg
92695,Winter Moon,Dean R. Koontz,Bantam Books,2001,https://images.amazon.com/images/P/0553582933.01.MZZZZZZZ.jpg
92711,Mercy,Julie Garwood,Pocket,2002,https://images.amazon.com/images/P/0671034022.01.MZZZZZZZ.jpg
93060,The Simple Truth,David Baldacci,Warner Books,1999,https://images.amazon.com/images/P/0446607711.01.MZZZZZZZ.jpg
93785,Last Man Standing,David Baldacci,Warner Books,2001,https://images.amazon.com/images/P/0446525804.01.MZZZZZZZ.jpg
94366,1984,George Orwell,Signet Book,1990,https://images.amazon.com/images/P/0451524934.01.MZZZZZZZ.jpg
94865,The Mists of Avalon,MARION ZIMMER BRADLEY,Del Rey,1987,https://images.amazon.com/images/P/0345350499.01.MZZZZZZZ.jpg
95084,Hot Six : A Stephanie Plum Novel,Janet Evanovich,St. Martin's Paperbacks,2001,https://images.amazon.com/images/P/0312976275.01.MZZZZZZZ.jpg
95282,Jemima J: A Novel About Ugly Ducklings and Swans,Jane Green,Broadway Books,2001,https://images.amazon.com/images/P/0767905180.01.MZZZZZZZ.jpg
95484,Now You See Her,Linda Howard,Pocket Books,2003,https://images.amazon.com/images/P/0743482891.01.MZZZZZZZ.jpg
95605,Harry Potter and the Sorcerer's Stone,J. K. Rowling,Arthur A. Levine Books,1999,https://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg
96282,Sea Glass: A Novel,Anita Shreve,Back Bay Books,2003,https://images.amazon.com/images/P/0316089699.01.MZZZZZZZ.jpg
97063,Seven Habits Of Highly Effective People,Stephen R. Covey,Free Press,1990,https://images.amazon.com/images/P/0671708635.01.MZZZZZZZ.jpg
98334,The Andromeda Strain,MICHAEL CRICHTON,Ballantine Books,1992,https://images.amazon.com/images/P/0345378482.01.MZZZZZZZ.jpg
98473,"Loves Music, Loves to Dance",Mary Higgins Clark,Pocket,1992,https://images.amazon.com/images/P/0671758896.01.MZZZZZZZ.jpg
98743,Dolores Claiborne,Stephen King,Signet Book,2004,https://images.amazon.com/images/P/0451177096.01.MZZZZZZZ.jpg
99535,Clear and Present Danger,Tom Clancy,Berkley Publishing Group,1996,https://images.amazon.com/images/P/0425122123.01.MZZZZZZZ.jpg
99767,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,Doubleday,1997,https://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg
100342,Tell No One,Harlan Coben,Dell Publishing Company,2002,https://images.amazon.com/images/P/0440236703.01.MZZZZZZZ.jpg
101379,The Sum of All Fears,Tom Clancy,Berkley Publishing Group,1996,https://images.amazon.com/images/P/0425133540.01.MZZZZZZZ.jpg
101684,WLD ACCORDNG GARP,John Irving,Pocket,1979,https://images.amazon.com/images/P/0671822209.01.MZZZZZZZ.jpg
101826,The First Counsel,Brad Meltzer,Warner Books,2001,https://images.amazon.com/images/P/0446527289.01.MZZZZZZZ.jpg
102315,Mystic River,Dennis Lehane,HarperTorch,2002,https://images.amazon.com/images/P/0380731851.01.MZZZZZZZ.jpg
103057,The Jester,James Patterson,"Little, Brown",2003,https://images.amazon.com/images/P/0316602051.01.MZZZZZZZ.jpg
103276,Watermelon,Marian Keyes,Avon,1999,https://images.amazon.com/images/P/0380796090.01.MZZZZZZZ.jpg
103325,Sick Puppy,Carl Hiaasen,Warner Vision,2001,https://images.amazon.com/images/P/0446604666.01.MZZZZZZZ.jpg
103677,Fear Nothing,DEAN KOONTZ,Bantam,1998,https://images.amazon.com/images/P/0553579754.01.MZZZZZZZ.jpg
103923,J Is for Judgment,Sue Grafton,Fawcett Books,1999,https://images.amazon.com/images/P/0449221482.01.MZZZZZZZ.jpg
104183,A Is for Alibi,SUE GRAFTON,Bantam,1987,https://images.amazon.com/images/P/0553279912.01.MZZZZZZZ.jpg
104473,Sphere,MICHAEL CRICHTON,Ballantine Books,1988,https://images.amazon.com/images/P/0345353145.01.MZZZZZZZ.jpg
105054,The Pelican Brief,John Grisham,Dell,1993,https://images.amazon.com/images/P/0440214041.01.MZZZZZZZ.jpg
106012,Bridget Jones: The Edge of Reason,Helen Fielding,Penguin Books,2001,https://images.amazon.com/images/P/0140298479.01.MZZZZZZZ.jpg
106348,Don't Stand Too Close to a Naked Man,Tim Allen,Hyperion,1995,https://images.amazon.com/images/P/0786889020.01.MZZZZZZZ.jpg
106580,Interview with the Vampire,Anne Rice,Ballantine Books,1993,https://images.amazon.com/images/P/0345337662.01.MZZZZZZZ.jpg
107087,The Queen of the Damned,Anne Rice,Ballantine Books,1993,https://images.amazon.com/images/P/0345351525.01.MZZZZZZZ.jpg
107391,O is for Outlaw,SUE GRAFTON,Ballantine Books,2001,https://images.amazon.com/images/P/0449003787.01.MZZZZZZZ.jpg
107605,The Book of Ruth,Jane Hamilton,Anchor,1990,https://images.amazon.com/images/P/0385265700.01.MZZZZZZZ.jpg
107966,How to Be Good,Nick Hornby,Riverhead Books,2002,https://images.amazon.com/images/P/1573229326.01.MZZZZZZZ.jpg
108391,The Color Purple,Alice Walker,Pocket Books,1985,https://images.amazon.com/images/P/0671617028.01.MZZZZZZZ.jpg
108538,Mirror Image,Danielle Steel,Dell Publishing Company,1999,https://images.amazon.com/images/P/0440224772.01.MZZZZZZZ.jpg
108891,The Notebook,Nicholas Sparks,Warner Books,1998,https://images.amazon.com/images/P/0446605239.01.MZZZZZZZ.jpg
109356,Carnal Innocence,Nora Roberts,Bantam Books,1992,https://images.amazon.com/images/P/0553295977.01.MZZZZZZZ.jpg
110060,You Belong To Me,Mary Higgins Clark,Pocket Books,1999,https://images.amazon.com/images/P/0671004549.01.MZZZZZZZ.jpg
110299,Peace Like a River,Leif Enger,Grove Press,2002,https://images.amazon.com/images/P/0802139256.01.MZZZZZZZ.jpg
110491,Cry Wolf,TAMI HOAG,Bantam,1993,https://images.amazon.com/images/P/055356160X.01.MZZZZZZZ.jpg
111444,Montana Sky,Nora Roberts,Jove Books,2000,https://images.amazon.com/images/P/0515120618.01.MZZZZZZZ.jpg
112787,Carolina Moon,Nora Roberts,Jove Books,2001,https://images.amazon.com/images/P/0515130389.01.MZZZZZZZ.jpg
113203,Three Fates,Nora Roberts,Jove Books,2004,https://images.amazon.com/images/P/0515135062.01.MZZZZZZZ.jpg
113390,Pay It Forward,Catherine Ryan Hyde,Pocket,2000,https://images.amazon.com/images/P/0743412028.01.MZZZZZZZ.jpg
113696,Bastard Out of Carolina,Dorothy Allison,Plume Books,1993,https://images.amazon.com/images/P/0452269571.01.MZZZZZZZ.jpg
113823,Face the Fire,Nora Roberts,Jove Books,2002,https://images.amazon.com/images/P/051513287X.01.MZZZZZZZ.jpg
114395,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,Regan Books,2002,https://images.amazon.com/images/P/0060392452.01.MZZZZZZZ.jpg
114976,"Dude, Where's My Country?",Michael Moore,Warner Books,2003,https://images.amazon.com/images/P/0446532231.01.MZZZZZZZ.jpg
115575,Homecoming,Cynthia Voigt,Fawcett Books,1990,https://images.amazon.com/images/P/0449702545.01.MZZZZZZZ.jpg
116052,Phantoms,Dean R. Koontz,Berkley Publishing Group,1996,https://images.amazon.com/images/P/0425101452.01.MZZZZZZZ.jpg
116242,ANGELA'S ASHES,Frank McCourt,Scribner,1996,https://images.amazon.com/images/P/0684874350.01.MZZZZZZZ.jpg
116515,Violets Are Blue,James Patterson,Warner Vision,2002,https://images.amazon.com/images/P/0446611212.01.MZZZZZZZ.jpg
116766,The Dogs of Babel,Carolyn Parkhurst,"Little, Brown",2003,https://images.amazon.com/images/P/0316168688.01.MZZZZZZZ.jpg
116945,Contagion,Robin Cook,Berkley Publishing Group,1998,https://images.amazon.com/images/P/0425155943.01.MZZZZZZZ.jpg
117347,The Tale of the Body Thief,Anne Rice,Ballantine Books,1993,https://images.amazon.com/images/P/034538475X.01.MZZZZZZZ.jpg
117887,Cruel and Unusual,Patricia D. Cornwell,Avon,1994,https://images.amazon.com/images/P/0380718340.01.MZZZZZZZ.jpg
118081,Misery,Stephen King,New Amer Library,1988,https://images.amazon.com/images/P/0451153553.01.MZZZZZZZ.jpg
118193,The Eyre Affair: A Novel,Jasper Fforde,Penguin Books,2003,https://images.amazon.com/images/P/0142001805.01.MZZZZZZZ.jpg
118488,The Body Farm,Patricia Daniels Cornwell,Berkley Publishing Group,1995,https://images.amazon.com/images/P/0425147622.01.MZZZZZZZ.jpg
118712,Mortal Fear,Greg Iles,Signet Book,1998,https://images.amazon.com/images/P/0451180410.01.MZZZZZZZ.jpg
118976,By the Light of the Moon,DEAN KOONTZ,Bantam,2003,https://images.amazon.com/images/P/0553582763.01.MZZZZZZZ.jpg
119064,Watchers,Dean R. Koontz,Berkley Publishing Group,2003,https://images.amazon.com/images/P/0425188809.01.MZZZZZZZ.jpg
119138,Intensity,DEAN KOONTZ,Ballantine Books,1996,https://images.amazon.com/images/P/0345384369.01.MZZZZZZZ.jpg
119260,Dark Rivers of the Heart,Dean R. Koontz,Ballantine Books,1995,https://images.amazon.com/images/P/034539657X.01.MZZZZZZZ.jpg
119412,Mr. Murder,Dean R. Koontz,Berkley Publishing Group,1996,https://images.amazon.com/images/P/0425144429.01.MZZZZZZZ.jpg
119545,The Hours: A Novel,Michael Cunningham,Picador,2002,https://images.amazon.com/images/P/0312305060.01.MZZZZZZZ.jpg
119900,A Day Late and a Dollar Short,Terry McMillan,Signet Book,2002,https://images.amazon.com/images/P/0451204948.01.MZZZZZZZ.jpg
120046,Rainbow Six,Tom Clancy,Putnam Publishing Group,1998,https://images.amazon.com/images/P/0399144137.01.MZZZZZZZ.jpg
120166,The Bonesetter's Daughter,Amy Tan,Putnam Publishing Group,2001,https://images.amazon.com/images/P/0399146431.01.MZZZZZZZ.jpg
120439,The Hundred Secret Senses,Amy Tan,Putnam Pub Group,1995,https://images.amazon.com/images/P/0399141146.01.MZZZZZZZ.jpg
120520,Midwives: A Novel,Chris Bohjalian,Vintage,1998,https://images.amazon.com/images/P/0375706771.01.MZZZZZZZ.jpg
121015,Song of Solomon,Toni Morrison,Plume Books,1987,https://images.amazon.com/images/P/0452260116.01.MZZZZZZZ.jpg
121775,I Know This Much Is True,Wally Lamb,Regan Books,1999,https://images.amazon.com/images/P/0060987561.01.MZZZZZZZ.jpg
122047,To the Nines: A Stephanie Plum Novel,Janet Evanovich,St. Martin's Press,2003,https://images.amazon.com/images/P/0312265867.01.MZZZZZZZ.jpg
122576,The Witness,Sandra Brown,Warner Books,1996,https://images.amazon.com/images/P/0446603309.01.MZZZZZZZ.jpg
122654,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life,Richard Carlson,Hyperion,1997,https://images.amazon.com/images/P/0786881852.01.MZZZZZZZ.jpg
123301,Call of the Wild,Jack London,Selldowns/no More Orders,0,https://images.amazon.com/images/P/1559029838.01.MZZZZZZZ.jpg
123620,"Girl, Interrupted",SUSANNA KAYSEN,Vintage,1994,https://images.amazon.com/images/P/0679746048.01.MZZZZZZZ.jpg
124051,Whispers,BELVA PLAIN,Dell,1994,https://images.amazon.com/images/P/0440216745.01.MZZZZZZZ.jpg
124135,Four To Score,Janet Evanovich,St. Martin's Paperbacks,1999,https://images.amazon.com/images/P/0312966970.01.MZZZZZZZ.jpg
124638,Rising Tides,Nora Roberts,Jove Books,2001,https://images.amazon.com/images/P/051512317X.01.MZZZZZZZ.jpg
125363,High Five,Janet Evanovich,St. Martin's Paperbacks,2000,https://images.amazon.com/images/P/0312971346.01.MZZZZZZZ.jpg
125747,Five Quarters of the Orange,Joanne Harris,Perennial,2002,https://images.amazon.com/images/P/0060958022.01.MZZZZZZZ.jpg
125897,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,Anchor Books/Doubleday,1994,https://images.amazon.com/images/P/0385474016.01.MZZZZZZZ.jpg
126640,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,Health Communications,1995,https://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg
127082,Final Target,Iris Johansen,Bantam Books,2002,https://images.amazon.com/images/P/0553582135.01.MZZZZZZZ.jpg
128228,Tribulation Force: The Continuing Drama of Those Left Behind,Tim LaHaye,Tyndale House Publishers,1997,https://images.amazon.com/images/P/0842329218.01.MZZZZZZZ.jpg
128517,The Runaway Jury,JOHN GRISHAM,Dell,1997,https://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg
129059,Without Remorse,Tom Clancy,Berkley Publishing Group,2004,https://images.amazon.com/images/P/0425143325.01.MZZZZZZZ.jpg
129430,The Woman Next Door,Barbara Delinsky,Pocket,2002,https://images.amazon.com/images/P/0743411250.01.MZZZZZZZ.jpg
129708,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,HarperTorch,2002,https://images.amazon.com/images/P/0060502258.01.MZZZZZZZ.jpg
130493,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,Del Rey,1986,https://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg
131217,Tales of a Fourth Grade Nothing,JUDY BLUME,Yearling,1976,https://images.amazon.com/images/P/044048474X.01.MZZZZZZZ.jpg
132095,The Clinic,Jonathan Kellerman,Bantam Books,1999,https://images.amazon.com/images/P/055357230X.01.MZZZZZZZ.jpg
132195,Hornet's Nest,Patricia Daniels Cornwell,Putnam Publishing Group,1997,https://images.amazon.com/images/P/0399142282.01.MZZZZZZZ.jpg
132527,The Temple of My Familiar,Alice Walker,Pocket,1990,https://images.amazon.com/images/P/0671683993.01.MZZZZZZZ.jpg
132780,Harry Potter and the Chamber of Secrets,J. K. Rowling,Scholastic,2000,https://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg
134061,Love in the Time of Cholera,Gabriel Garcia Marquez,Penguin Books,1994,https://images.amazon.com/images/P/0140119906.01.MZZZZZZZ.jpg
134819,It,Stephen King,Trafalgar Square,0,https://images.amazon.com/images/P/0450411435.01.MZZZZZZZ.jpg
135052,Ashes to Ashes,TAMI HOAG,Bantam,2000,https://images.amazon.com/images/P/0553579606.01.MZZZZZZZ.jpg
135669,Insomnia,Stephen King,Viking Books,1994,https://images.amazon.com/images/P/0670855030.01.MZZZZZZZ.jpg
135818,Stillwatch,MARY HIGGINS CLARK,Dell,1986,https://images.amazon.com/images/P/0440183057.01.MZZZZZZZ.jpg
136085,Tis: A Memoir,Frank McCourt,Simon &amp; Schuster,2000,https://images.amazon.com/images/P/0743200985.01.MZZZZZZZ.jpg
136095,Midnight,Dean R. Koontz,Berkley Publishing Group,1995,https://images.amazon.com/images/P/0425118703.01.MZZZZZZZ.jpg
136417,Unnatural Exposure,Cornwell Patricia,Little Brown Company,0,https://images.amazon.com/images/P/0316639842.01.MZZZZZZZ.jpg
136813,Slammerkin,Emma Donoghue,Harcourt,2001,https://images.amazon.com/images/P/0151006725.01.MZZZZZZZ.jpg
136968,The Plains of Passage,JEAN M. AUEL,Bantam,1991,https://images.amazon.com/images/P/0553289411.01.MZZZZZZZ.jpg
137854,The Surgeon,TESS GERRITSEN,Ballantine Books,2002,https://images.amazon.com/images/P/0345447840.01.MZZZZZZZ.jpg
138354,Presumed Innocent,Scott Turow,Warner Books,1989,https://images.amazon.com/images/P/0446359866.01.MZZZZZZZ.jpg
138949,Anne of Avonlea,L.M. MONTGOMERY,Bantam Classics,1984,https://images.amazon.com/images/P/0553213148.01.MZZZZZZZ.jpg
139133,It Was on Fire When I Lay Down on It,Robert Fulghum,Random House Inc,1989,https://images.amazon.com/images/P/0394580567.01.MZZZZZZZ.jpg
139249,Pleading Guilty,Scott Turow,Warner Books,1994,https://images.amazon.com/images/P/0446365505.01.MZZZZZZZ.jpg
139373,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,John Wiley &amp; Sons Inc,1994,https://images.amazon.com/images/P/002542730X.01.MZZZZZZZ.jpg
139612,4 Blondes,Candace Bushnell,Signet Book,2002,https://images.amazon.com/images/P/0451203895.01.MZZZZZZZ.jpg
139790,Night,Elie Wiesel,Bantam Books,1982,https://images.amazon.com/images/P/0553272535.01.MZZZZZZZ.jpg
140171,The Secret Garden,Frances Hodgson Burnett,Tor Books,1989,https://images.amazon.com/images/P/0812505018.01.MZZZZZZZ.jpg
141075,Black House,Stephen King,Random House Trade,2001,https://images.amazon.com/images/P/0375504397.01.MZZZZZZZ.jpg
141173,Falling Angels,Tracy Chevalier,Plume Books,2002,https://images.amazon.com/images/P/0452283205.01.MZZZZZZZ.jpg
141536,Christine,Stephen King,New Amer Library,1983,https://images.amazon.com/images/P/0451139739.01.MZZZZZZZ.jpg
141721,The Valley of Horses,JEAN M. AUEL,Bantam,1984,https://images.amazon.com/images/P/0553250531.01.MZZZZZZZ.jpg
142291,Desperation,Stephen King,Signet Book,1997,https://images.amazon.com/images/P/0451188462.01.MZZZZZZZ.jpg
142493,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,Scholastic,1999,https://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg
142868,Charlotte's Web,E. B. White,HarperTrophy,1974,https://images.amazon.com/images/P/0064400557.01.MZZZZZZZ.jpg
143308,Primary Colors: A Novel of Politics,Anonymous,Random House Inc,1996,https://images.amazon.com/images/P/0679448594.01.MZZZZZZZ.jpg
143385,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,Pocket,1995,https://images.amazon.com/images/P/0671867172.01.MZZZZZZZ.jpg
143774,The Gift,DANIELLE STEEL,Dell,1996,https://images.amazon.com/images/P/0440221315.01.MZZZZZZZ.jpg
143909,A Bend in the Road,Nicholas Sparks,Warner Books,2001,https://images.amazon.com/images/P/0446527785.01.MZZZZZZZ.jpg
144034,The Great Gatsby,F. Scott Fitzgerald,Lb May &amp; Assoc Inc,1999,https://images.amazon.com/images/P/185326041X.01.MZZZZZZZ.jpg
144604,Lucky : A Memoir,Alice Sebold,Back Bay Books,2002,https://images.amazon.com/images/P/0316096199.01.MZZZZZZZ.jpg
145395,Bittersweet,DANIELLE STEEL,Dell,2000,https://images.amazon.com/images/P/0440224845.01.MZZZZZZZ.jpg
145582,Weep No More My Lady,Mary Higgins Clark,Dell,1993,https://images.amazon.com/images/P/0440200989.01.MZZZZZZZ.jpg
145674,Let Me Call You Sweetheart,Mary Higgins Clark,Pocket,1996,https://images.amazon.com/images/P/0671568175.01.MZZZZZZZ.jpg
145808,K Is for Killer,Sue Grafton,Fawcett Books,1999,https://images.amazon.com/images/P/0449221504.01.MZZZZZZZ.jpg
145979,Unspeakable,Sandra Brown,Warner Books,1999,https://images.amazon.com/images/P/0446607193.01.MZZZZZZZ.jpg
146149,Irish Hearts,Nora Roberts,Silhouette,2000,https://images.amazon.com/images/P/0373484003.01.MZZZZZZZ.jpg
146656,Circle of Friends,Maeve Binchy,Dell,1991,https://images.amazon.com/images/P/0440211263.01.MZZZZZZZ.jpg
146886,The Bourne Identity,Robert Ludlum,Bantam Books,1984,https://images.amazon.com/images/P/0553260111.01.MZZZZZZZ.jpg
147299,Under the Tuscan Sun,Frances Mayes,Broadway,1997,https://images.amazon.com/images/P/0767900383.01.MZZZZZZZ.jpg
147913,Heartbreaker,Julie Garwood,Pocket,2001,https://images.amazon.com/images/P/0671034006.01.MZZZZZZZ.jpg
147986,The Cardinal of the Kremlin,Tom Clancy,Berkley Publishing Group,1989,https://images.amazon.com/images/P/0425116840.01.MZZZZZZZ.jpg
148785,Southern Cross,Patricia Daniels Cornwell,Putnam Pub Group,1999,https://images.amazon.com/images/P/039914465X.01.MZZZZZZZ.jpg
148873,Bag of Bones,Stephen King,Pocket,1999,https://images.amazon.com/images/P/067102423X.01.MZZZZZZZ.jpg
149511,Brave New World,Aldous Huxley,Harpercollins,1989,https://images.amazon.com/images/P/0060809833.01.MZZZZZZZ.jpg
149751,The Prince of Tides,Pat Conroy,Bantam Books,1987,https://images.amazon.com/images/P/0553268880.01.MZZZZZZZ.jpg
150040,The Honk and Holler Opening Soon,Billie Letts,Warner Books,1998,https://images.amazon.com/images/P/0446521582.01.MZZZZZZZ.jpg
150731,Shopaholic Ties the Knot,Sophie Kinsella,Delta,2003,https://images.amazon.com/images/P/0385336179.01.MZZZZZZZ.jpg
151093,One Door Away from Heaven,Dean R. Koontz,Bantam Books,2002,https://images.amazon.com/images/P/0553582755.01.MZZZZZZZ.jpg
151503,The Bridges of Madison County,Robert James Waller,Warner Books,1992,https://images.amazon.com/images/P/044651652X.01.MZZZZZZZ.jpg
152365,The Return of the King,J.R.R. TOLKIEN,Del Rey,1986,https://images.amazon.com/images/P/0345339738.01.MZZZZZZZ.jpg
152744,Ladder of Years,Anne Tyler,Random House Inc,1995,https://images.amazon.com/images/P/0679441557.01.MZZZZZZZ.jpg
152987,High Fidelity,Nick Hornby,Riverhead Books,1996,https://images.amazon.com/images/P/1573225517.01.MZZZZZZZ.jpg
153847,Prodigal Summer,Barbara Kingsolver,HarperCollins,2000,https://images.amazon.com/images/P/0060199652.01.MZZZZZZZ.jpg
154797,Confessions of an Ugly Stepsister : A Novel,Gregory Maguire,Regan Books,2000,https://images.amazon.com/images/P/0060987529.01.MZZZZZZZ.jpg
155383,Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,ROBERT PIRSIG,Bantam,1984,https://images.amazon.com/images/P/0553277472.01.MZZZZZZZ.jpg
156078,The Accidental Tourist,Anne Tyler,Berkley Publishing Group,1998,https://images.amazon.com/images/P/0425161617.01.MZZZZZZZ.jpg
156126,Dying for Chocolate,DIANE MOTT DAVIDSON,Bantam,1993,https://images.amazon.com/images/P/0553560247.01.MZZZZZZZ.jpg
